,Minimo uso cubrebocas,Maximo uso cubrebocas,Fecha (dmy)
0,0.6,0.99,03/04/2021
1,0.5,0.94,25/07/2021
2,0.63,0.94,30/07/2021
3,0.54,0.94,11/03/2021
4,0.65,0.96,26/04/2021
5,0.55,0.98,03/06/2021
6,0.55,0.94,16/05/2021
7,0.5,0.92,26/08/2020
8,0.61,0.96,26/01/2021
9,0.48,0.96,03/01/2021
10,0.56,0.97,26/06/2021
11,0.5,0.93,05/11/2020
12,0.48,0.93,16/11/2020
13,0.59,0.95,26/08/2021
14,0.5,0.91,08/11/2020
15,0.39,0.93,28/10/2020
16,0.42,0.94,16/10/2020
17,0.64,0.96,01/02/2021
18,0.53,0.93,30/07/2020
19,0.54,0.95,25/07/2020
20,0.61,0.95,19/03/2021
21,0.6,0.97,29/12/2020
22,0.67,0.95,12/05/2021
23,0.48,0.96,08/07/2021
24,0.67,0.97,15/02/2021
25,0.48,0.92,02/10/2020
26,0.57,0.93,14/08/2021
27,0.38,0.93,30/08/2020
28,0.62,0.95,04/08/2021
29,0.46,0.96,21/04/2021
30,0.61,0.96,16/03/2021
31,0.53,0.95,22/07/2021
32,0.61,0.94,29/08/2021
33,0.42,0.9,14/12/2020
34,0.53,0.95,07/12/2020
35,0.57,0.96,19/12/2020
36,0.62,0.98,04/04/2021
37,0.55,0.94,07/07/2021
38,0.53,0.94,26/11/2020
39,0.55,0.95,21/06/2021
40,0.64,0.95,04/01/2021
41,0.62,0.95,21/01/2021
42,0.47,0.93,04/06/2021
43,0.66,0.95,29/01/2021
44,0.47,0.93,09/10/2020
45,0.65,0.96,29/06/2021
46,0.65,0.98,20/02/2021
47,0.53,0.97,29/08/2020
48,0.55,0.93,22/07/2020
49,0.69,0.94,04/05/2021
50,0.49,0.92,23/10/2020
51,0.48,0.96,30/08/2021
52,0.57,0.92,14/08/2020
53,0.51,0.92,04/08/2020
54,0.54,0.96,03/08/2020
55,0.53,0.93,13/08/2020
56,0.46,0.94,24/02/2021
57,0.49,0.93,28/06/2021
58,0.49,0.94,19/10/2020
59,0.5,0.94,23/07/2020
60,0.5,0.93,28/04/2021
61,0.51,0.94,27/10/2020
62,0.54,0.96,05/04/2021
63,0.6,0.93,06/07/2021
64,0.52,0.94,09/12/2020
65,0.6,0.95,17/03/2021
66,0.51,0.95,20/04/2021
67,0.55,0.95,04/12/2020
68,0.69,0.97,23/07/2021
69,0.51,0.93,17/12/2020
70,0.49,0.94,28/11/2020
71,0.68,0.94,05/06/2021
72,0.52,0.94,07/05/2021
73,0.57,0.95,20/01/2021
74,0.65,0.95,05/01/2021
75,0.49,0.93,25/11/2020
76,0.6,0.95,20/06/2021
77,0.52,0.95,03/08/2021
78,0.58,0.96,13/08/2021
79,0.47,0.91,12/10/2020
80,0.64,0.96,05/02/2021
81,0.41,0.97,18/11/2020
82,0.43,0.91,15/11/2020
83,0.51,0.96,06/11/2020
84,0.7,0.97,11/02/2021
85,0.5,0.93,09/07/2021
86,0.52,0.9,06/10/2020
87,0.49,0.97,21/08/2021
88,0.48,0.92,28/09/2020
89,0.64,0.95,15/05/2021
90,0.48,0.96,27/12/2020
91,0.56,0.96,18/03/2021
92,0.55,0.93,24/07/2020
93,0.54,0.93,31/07/2020
94,0.51,0.91,31/07/2021
95,0.61,0.95,24/07/2021
96,0.65,0.96,27/04/2021
97,0.64,0.94,28/05/2021
98,0.54,0.93,21/08/2020
99,0.46,0.95,30/09/2020
100,0.5,0.94,01/07/2021
101,0.64,0.95,02/04/2021
102,0.55,0.94,27/06/2021
103,0.6,0.96,11/05/2021
104,0.63,0.96,02/01/2021
105,0.56,0.94,29/09/2020
106,0.51,0.95,27/01/2021
107,0.67,0.97,02/06/2021
108,0.39,0.93,26/07/2020
109,0.34,0.92,24/09/2020
110,0.54,0.96,03/10/2020
111,0.53,0.97,14/02/2021
112,0.56,0.91,22/05/2021
113,0.59,0.93,21/12/2020
114,0.57,0.96,08/04/2021
115,0.53,0.97,02/08/2020
116,0.58,0.92,12/08/2020
117,0.61,0.95,08/01/2021
118,0.5,0.93,29/10/2020
119,0.39,0.94,17/10/2020
120,0.51,0.94,13/11/2020
121,0.62,0.96,08/06/2021
122,0.6,0.95,31/12/2020
123,0.62,0.99,30/01/2021
124,0.51,0.95,25/01/2021
125,0.42,0.95,26/05/2021
126,0.61,0.96,31/05/2021
127,0.5,0.93,25/09/2020
128,0.63,0.94,02/08/2021
129,0.49,0.95,12/08/2021
130,0.46,0.97,25/06/2021
131,0.52,0.96,30/06/2021
132,0.67,0.97,03/07/2021
133,0.55,0.97,24/09/2021
134,0.39,0.96,12/03/2021
135,0.71,0.94,30/04/2021
136,0.38,0.93,25/04/2021
137,0.62,0.97,26/07/2021
138,0.58,0.93,20/08/2021
139,0.41,0.92,22/10/2020
140,0.57,0.98,29/07/2021
141,0.39,0.94,21/07/2020
142,0.49,0.95,21/02/2021
143,0.52,0.93,08/10/2020
144,0.44,0.92,26/09/2020
145,0.61,0.95,22/06/2021
146,0.38,0.97,07/01/2021
147,0.57,0.92,22/01/2021
148,0.55,0.92,23/11/2020
149,0.49,0.97,07/06/2021
150,0.6,0.92,21/07/2021
151,0.65,0.93,22/04/2021
152,0.61,0.95,15/03/2021
153,0.5,0.92,29/07/2020
154,0.68,0.96,09/05/2021
155,0.36,0.92,27/09/2020
156,0.47,0.92,02/12/2020
157,0.46,0.94,20/08/2020
158,0.46,0.91,11/12/2020
159,0.53,0.94,04/07/2021
160,0.68,0.96,07/04/2021
161,0.6,0.95,06/06/2021
162,0.47,0.97,23/01/2021
163,0.53,0.97,27/08/2020
164,0.47,0.93,20/11/2020
165,0.55,0.92,20/09/2021
166,0.6,0.98,06/01/2021
167,0.61,0.98,23/06/2021
168,0.46,0.93,12/12/2020
169,0.55,0.95,05/07/2021
170,0.68,0.95,06/04/2021
171,0.52,0.93,01/12/2020
172,0.48,0.94,21/09/2020
173,0.66,0.93,20/07/2021
174,0.56,0.94,28/07/2020
175,0.66,0.96,14/03/2021
176,0.65,0.94,23/04/2021
177,0.5,0.94,28/07/2021
178,0.52,0.93,20/07/2020
179,0.67,0.98,21/09/2021
180,0.53,0.94,18/10/2020
181,0.54,0.94,26/10/2020
182,0.55,0.97,30/11/2020
183,0.51,0.91,20/09/2020
184,0.66,0.96,25/02/2021
185,0.45,0.94,27/08/2021
186,0.56,0.94,24/06/2021
187,0.5,0.92,23/09/2020
188,0.43,0.98,01/01/2021
189,0.49,0.98,21/05/2021
190,0.67,0.96,24/01/2021
191,0.46,0.93,31/01/2021
192,0.63,0.99,01/06/2021
193,0.51,0.95,24/04/2021
194,0.61,0.95,13/03/2021
195,0.61,0.95,27/07/2021
196,0.49,0.94,15/08/2021
197,0.45,0.95,05/08/2021
198,0.64,0.93,22/09/2021
199,0.62,0.96,18/05/2021
200,0.66,0.95,28/08/2021
201,0.42,0.96,01/04/2021
